n,mean,low,high,function
0,9.760000003922187e-07,7.999999951380232e-07,1.2525000004259814e-06,rm3
1,8.901999999864074e-06,7.300000000043383e-06,1.6672500002634642e-05,rm3
2,9.328000000010662e-06,8.000000001118224e-06,1.0805000001745666e-05,rm3
3,9.761999999682302e-06,8.299999997518626e-06,1.145249999883191e-05,rm3
4,8.9283000000151e-05,7.819999999725269e-05,0.00013859749999785005,rm3
5,0.00010204499999993288,8.964750000313161e-05,0.00015624000000276085,rm3
6,0.0001970859999995156,0.00017033750000141625,0.0002842774999987085,rm3
7,0.00011038999999968269,9.14000000022952e-05,0.0001711549999969363,rm3
8,0.0001378950000002277,9.254750000149414e-05,0.00018484249999790585,rm3
9,0.00016866400000004945,0.00015131249999935647,0.0002524700000009261,rm3
10,0.0004142270000004089,0.00027653749999903,0.0006598850000001372,rm3
11,0.00033338299999947197,0.0002633999999991588,0.00043632999999694273,rm3
12,0.0005338170000003827,0.00034689500000038007,0.0008455350000019729,rm3
13,0.00032450599999990005,0.00020428000000016766,0.0005298074999970481,rm3
14,0.00040862199999985193,0.00029299999999921056,0.0008809175000029862,rm3
15,0.0004962890000000187,0.00036572250000048716,0.0007629600000051084,rm3
16,0.0006612820000001562,0.0005857399999998237,0.0008976324999999006,rm3
17,0.000879654999999957,0.0005706350000043159,0.0011483774999977213,rm3
18,0.00031790500000006717,0.0002945375000029671,0.00044792250000078514,rm3
19,0.0006727250000005114,0.0006042025000020601,0.000948144999998668,rm3
20,0.0006371199999994559,0.000596932500002012,0.0008929349999990063,rm3
21,0.0006463440000000986,0.0006072850000022001,0.0008565524999983861,rm3
22,0.000761234000000357,0.0006220924999979615,0.0011198649999979433,rm3
23,0.0007886130000001402,0.0006336774999986972,0.001525752499995647,rm3
24,0.0006405349999999998,0.0003222300000008005,0.0016045699999953178,rm3
25,0.0008494889999995792,0.0005852474999967327,0.0018066225000003648,rm3
26,0.00126648799999991,0.0008192074999993082,0.0032485625000015575,rm3
27,0.00093284600000068,0.0006217474999969496,0.0014365824999988063,rm3
28,0.0011277180000008257,0.0007957225000019719,0.0016711300000030959,rm3
29,0.0015298449999995257,0.0009695799999988709,0.002120462500000462,rm3
30,0.0013342040000001987,0.0008497449999975259,0.001963580000000142,rm3
31,0.001683684999999926,0.000991817499998504,0.003948030000001522,rm3
32,0.0016607340000000192,0.0009118025000013575,0.0039178024999999995,rm3
33,0.0017736850000002846,0.0009911924999983057,0.0043050675000031865,rm3
34,0.0016631190000001084,0.0010277124999985786,0.004110140000004491,rm3
35,0.0015170080000002173,0.0009171849999999538,0.003214450000003842,rm3
36,0.0006629079999999731,0.00045084249999636226,0.0014153875000028275,rm3
37,0.0017005409999995892,0.0011303850000011551,0.0035304824999963453,rm3
38,0.001046908000000002,0.0009451424999998182,0.0016441624999982806,rm3
39,0.0010691400000000329,0.0009556475000017882,0.0017261349999991178,rm3
40,0.0006706600000001117,0.0006024925000000181,0.0009392300000037319,rm3
41,0.001608164999999815,0.0011252850000017744,0.003355717499997011,rm3
42,0.0015169889999999242,0.0010686325000005326,0.003753804999998597,rm3
43,0.001586271000000039,0.001266517500000397,0.002981452500000613,rm3
44,0.0010382559999996487,0.0005904699999979002,0.002884772499998254,rm3
45,0.0007874959999999476,0.0006279124999982955,0.0016948649999983792,rm3
46,0.0018464069999999566,0.001261652500001098,0.003405354999999408,rm3
47,0.001795213999999845,0.0011997324999978077,0.003958332499998816,rm3
48,0.0011001100000000718,0.0010214224999996802,0.0015654524999973753,rm3
49,0.000907767999999649,0.0007502799999974386,0.001481557499999651,rm3
50,0.0013776190000007204,0.0011337174999974664,0.002503020000003353,rm3
51,0.0015086710000001347,0.0011860999999981914,0.003198244999999033,rm3
52,0.0019325980000002119,0.0017971475000051029,0.0030175999999986656,rm3
53,0.0016405199999996968,0.0014186499999985004,0.0026580500000001448,rm3
54,0.0014251270000001882,0.001209995000000319,0.002358610000004189,rm3
55,0.0010189509999995038,0.0008040499999985684,0.0015060499999981045,rm3
56,0.0007112590000001972,0.0005336200000018109,0.0009840350000024144,rm3
57,0.002456265000000144,0.001652604999998708,0.005436707500001599,rm3
58,0.0020677670000002024,0.001578317499999038,0.00411409500000328,rm3
59,0.0012524560000003503,0.0012217499999996662,0.001331427500002036,rm3
60,0.0015021639999994107,0.0012210650000021419,0.002313047500002696,rm3
61,0.0018508179999998475,0.0015433899999992562,0.002728127500000532,rm3
62,0.0018259379999999226,0.0015693075000003276,0.003006474999996022,rm3
63,0.0018086279999999988,0.001506817499994817,0.0029821025000019907,rm3
64,0.0030084850000000785,0.001628427499999674,0.006176222500002026,rm3
65,0.002814418000000174,0.001956670000000926,0.003973942500000226,rm3
66,0.0017701080000001213,0.001480217500003711,0.0026152150000037008,rm3
67,0.0020637569999993844,0.0015765174999993192,0.0033698700000043044,rm3
68,0.004032446000000078,0.0018728499999985716,0.00901588999999755,rm3
69,0.003108101999999775,0.0018309000000003906,0.005003342499999695,rm3
70,0.002106852999999944,0.0012329274999986594,0.003837334999997743,rm3
71,0.001020461000000168,0.0006168000000030815,0.001979090000001448,rm3
72,0.0019818070000000177,0.0017597625000027152,0.0031601199999967016,rm3
73,0.002495951999999946,0.0018990699999994476,0.00376124500000099,rm3
74,0.0027993550000003607,0.0020818449999966404,0.0038870975000021343,rm3
75,0.002279007000000135,0.0018122724999969364,0.003614329999997778,rm3
76,0.0026216749999998967,0.0021658975000031335,0.004149855000000712,rm3
77,0.0032969249999998595,0.002044275000000084,0.0071491975000005994,rm3
78,0.002382281000000006,0.0016165375000014137,0.00312835999999912,rm3
79,0.0011207640000002782,0.0010492475000024371,0.0016000575000040484,rm3
80,0.002086078000000029,0.0017415775000003465,0.003109414999999771,rm3
81,0.002560142999999968,0.0021771650000028233,0.0038889799999962445,rm3
82,0.0008972629999996684,0.0008064349999992615,0.001060404999996933,rm3
83,0.0031183229999997763,0.0025263475000000925,0.00477915250000116,rm3
84,0.0021042219999998935,0.0020133900000026015,0.0024665474999993704,rm3
85,0.002571804000000171,0.002364190000002253,0.002992745000000241,rm3
86,0.002895269000000482,0.0023201899999996554,0.0041255675000048345,rm3
87,0.002856488999999982,0.002220737499999359,0.003938322500001411,rm3
88,0.0020759660000000224,0.0020021974999966828,0.002332110000000398,rm3
89,0.0023828910000005268,0.0020536624999982324,0.0035355075000001786,rm3
90,0.0029531469999994897,0.002156484999997943,0.004440694999995996,rm3
91,0.0025618749999998867,0.0021190375000008643,0.0036896275000033864,rm3
92,0.0031722309999997833,0.0022321824999984585,0.0046927000000025025,rm3
93,0.0011381129999998762,0.0009653474999977262,0.001727587500001881,rm3
94,0.0030152320000002676,0.0026184474999984887,0.004690374999997715,rm3
